PassengerId,Pclass,Fare,Age,Sex
2,1,71.2833,38.0,0
4,1,53.1,35.0,0
7,1,51.8625,54.0,1
11,3,16.7,4.0,0
12,1,26.55,58.0,0
22,2,13.0,34.0,1
24,1,35.5,28.0,1
28,1,263.0,19.0,1
53,1,76.7292,49.0,0
55,1,61.9792,65.0,1
63,1,83.475,45.0,1
67,2,10.5,29.0,0
76,3,7.65,25.0,1
89,1,263.0,23.0,0
93,1,61.175,46.0,1
97,1,34.6542,71.0,1
98,1,63.3583,23.0,1
103,1,77.2875,21.0,1
111,1,52.0,47.0,1
119,1,247.5208,24.0,1
124,2,13.0,32.5,0
125,1,77.2875,54.0,1
137,1,26.2833,19.0,0
138,1,53.1,37.0,1
140,1,79.2,24.0,1
149,2,26.0,36.5,1
152,1,66.6,22.0,0
171,1,33.5,61.0,1
175,1,30.6958,56.0,1
178,1,28.7125,50.0,0
184,2,39.0,1.0,1
194,2,26.0,3.0,1
195,1,27.7208,44.0,0
196,1,146.5208,58.0,0
206,3,10.4625,2.0,0
210,1,31.0,40.0,1
216,1,113.275,31.0,0
219,1,76.2917,32.0,0
225,1,90.0,38.0,1
231,1,83.475,35.0,0
246,1,90.0,44.0,1
249,1,52.5542,37.0,1
252,3,10.4625,29.0,0
253,1,26.55,62.0,1
258,1,86.5,30.0,0
263,1,79.65,52.0,1
264,1,0.0,40.0,1
269,1,153.4625,58.0,0
270,1,135.6333,35.0,0
274,1,29.7,37.0,1
276,1,77.9583,63.0,0
292,1,91.0792,19.0,0
293,2,12.875,36.0,1
298,1,151.55,2.0,0
300,1,247.5208,50.0,0
306,1,151.55,0.92,1
308,1,108.9,17.0,0
310,1,56.9292,30.0,0
311,1,83.1583,24.0,0
312,1,262.375,18.0,0
319,1,164.8667,31.0,0
320,1,134.5,40.0,0
326,1,135.6333,36.0,0
328,2,13.0,36.0,0
330,1,57.9792,16.0,0
332,1,28.5,45.5,1
333,1,153.4625,38.0,1
337,1,66.6,29.0,1
338,1,134.5,41.0,0
340,1,35.5,45.0,1
341,2,26.0,2.0,1
342,1,263.0,24.0,0
346,2,13.0,24.0,0
357,1,55.0,22.0,0
367,1,75.25,60.0,0
370,1,69.3,24.0,0
371,1,55.4417,25.0,1
378,1,211.5,27.0,1
391,1,120.0,36.0,1
394,1,113.275,23.0,0
395,3,16.7,24.0,0
413,1,90.0,33.0,0
430,3,8.05,32.0,1
431,1,26.55,28.0,1
435,1,55.9,50.0,1
436,1,120.0,14.0,0
439,1,263.0,64.0,1
446,1,81.8583,4.0,1
450,1,30.5,52.0,1
453,1,27.75,30.0,1
454,1,89.1042,49.0,1
457,1,26.55,65.0,1
461,1,26.55,48.0,1
463,1,38.5,47.0,1
474,2,13.7917,23.0,0
485,1,91.0792,25.0,1
487,1,90.0,35.0,0
488,1,29.7,58.0,1
493,1,30.5,55.0,1
497,1,78.2667,54.0,0
499,1,151.55,25.0,0
505,1,86.5,16.0,0
506,1,108.9,18.0,1
513,1,26.2875,36.0,1
516,1,34.0208,47.0,1
517,2,10.5,34.0,0
521,1,93.5,30.0,0
524,1,57.9792,44.0,0
537,1,26.55,45.0,1
540,1,49.5,22.0,0
541,1,71.0,36.0,0
545,1,106.425,50.0,1
551,1,110.8833,17.0,1
557,1,39.6,48.0,0
559,1,79.65,39.0,0
572,1,51.4792,53.0,0
573,1,26.3875,36.0,1
578,1,55.9,39.0,0
582,1,110.8833,39.0,0
584,1,40.125,36.0,1
586,1,79.65,18.0,0
588,1,79.2,60.0,1
592,1,78.2667,52.0,0
600,1,56.9292,49.0,1
610,1,153.4625,40.0,0
619,2,39.0,4.0,0
622,1,52.5542,42.0,1
626,1,32.3208,61.0,1
628,1,77.9583,21.0,0
631,1,30.0,80.0,1
633,1,30.5,32.0,1
642,1,69.3,24.0,0
646,1,76.7292,48.0,1
648,1,35.5,56.0,1
660,1,113.275,58.0,1
663,1,25.5875,47.0,1
672,1,52.0,31.0,1
680,1,512.3292,36.0,1
682,1,76.7292,27.0,1
690,1,211.3375,15.0,0
691,1,57.0,31.0,1
699,1,110.8833,49.0,1
700,3,7.65,42.0,1
701,1,227.525,18.0,0
702,1,26.2875,35.0,1
708,1,26.2875,42.0,1
711,1,49.5042,24.0,0
713,1,52.0,48.0,1
716,3,7.65,19.0,1
717,1,227.525,38.0,0
718,2,10.5,27.0,0
725,1,53.1,27.0,1
731,1,211.3375,29.0,0
738,1,512.3292,35.0,1
742,1,78.85,36.0,1
743,1,262.375,21.0,0
746,1,71.0,70.0,1
749,1,53.1,19.0,1
752,3,12.475,6.0,1
760,1,86.5,33.0,0
764,1,120.0,36.0,0
766,1,77.9583,51.0,0
773,2,10.5,57.0,0
780,1,211.3375,43.0,0
782,1,57.0,17.0,0
783,1,30.0,29.0,1
790,1,79.2,46.0,1
797,1,25.9292,49.0,0
803,1,120.0,11.0,1
807,1,0.0,39.0,1
810,1,53.1,33.0,0
821,1,93.5,52.0,0
824,3,12.475,27.0,0
836,1,83.1583,39.0,0
854,1,39.4,16.0,0
858,1,26.55,51.0,1
863,1,25.9292,48.0,0
868,1,50.4958,31.0,1
872,1,52.5542,47.0,0
873,1,5.0,33.0,1
880,1,83.1583,56.0,0
888,1,30.0,19.0,0
890,1,30.0,26.0,1
